,nearest_demand_id,distance_km
S0,2261,10.654412701433353
S1,2261,11.6432209413104
S2,2261,10.299656524243565
S3,2060,10.625100421396713
S4,2060,11.527803431234432
S5,2261,10.979497405098483
S6,2261,11.045703081183058
S7,2261,10.866725830906415
S8,2254,10.276444262092555
S9,2261,11.298606781180085
S10,2261,10.881605587788782
S11,2261,11.643220941310556
S12,2060,10.228980459411362
S13,2257,11.552755974116762
S14,2254,10.785960971772436
S15,2277,5.839845232467111
S16,2090,5.059580802486369
S17,2090,4.365903915234611
S18,2090,5.533427095692997
S19,2090,5.1739200893353985
S20,2279,6.20332693868307
S21,2279,4.774536113373529
S22,2090,5.773614308109691
S23,2090,5.273243309918332
S24,2082,5.079131978543866
S25,2301,4.335748294955515
S26,2126,4.9561321663821944
S27,2133,4.063693555676487
S28,2312,5.835479555577112
S29,2312,6.255683058448158
S30,2312,12.363547510493298
S31,2320,8.78974592139439
S32,2208,5.621260362287325
S33,2711,7.478885097760002
S34,2711,6.379915883582716
S35,2711,9.445673408589903
S36,2711,11.466007333911353
S37,2711,6.302103237387584
S38,2711,7.238494550869568
S39,2710,5.854889868945781
S40,2710,5.348953651510124
S41,2694,5.947683382586877
S42,2710,8.882565401199416
S43,2710,7.001209259976154
S44,2711,9.355610687180592
S45,2710,6.267528285592079
S46,2711,9.644199300942232
S47,2711,11.010419143706134
S48,2711,8.777278706359393
S49,2711,5.789068483111353
S50,2711,8.408049506834592
S51,2710,6.495234100950687
S52,2711,10.178663706041391
S53,2710,6.551404594557466
S54,2711,8.950303446285824
S55,2710,5.608959166434225
S56,2711,4.415916095438455
S57,2711,6.602409857911826
S58,2711,4.834267545749047
S59,2710,4.62766263996539
S60,2711,10.78519320076226
S61,2757,5.990849012543086
S62,2757,4.630414091139848
S63,2749,6.689080435716043
S64,2757,6.1682115682755505
S65,2749,5.288663987259232
S66,2749,4.142156713611115
S67,2756,5.3966953010094745
S68,2749,4.631172732818575
S69,2820,6.116714620995766
S70,2749,5.754215142047526
S71,2749,6.036666534737822
S72,2757,4.423406071900659
S73,2756,5.396662519161255
S74,2749,5.167998187588827
S75,2749,5.417284540228451
S76,2749,7.052003805351727
S77,2757,3.2567185744098133
S78,2757,4.57683874423273
S79,2757,6.409015534935654
S80,2749,5.9459117665228165
S81,2836,7.204092683285098
S82,2836,7.64093082757691
S83,2834,7.618806736388305
S84,2836,7.10420587738721
S85,2836,7.446660606004789
S86,2834,7.389600531555393
S87,2836,8.184466812092802
S88,2836,8.256724707325041
S89,2836,7.4358360582152
S90,2836,7.21912602616962
S91,2836,7.633234766559471
S92,2834,8.585211702625454
S93,2836,7.208936552380266
S94,2836,4.352233403403428
S95,2836,6.776410464274061
S96,2834,7.402601277900836
S97,2836,7.333997920239753
S98,3885,11.795712931310124
S99,3885,12.683676212990214
S100,3885,12.255949933954337
S101,3885,12.625716914762265
